,,Paste data from survey (sort by name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apple,Banana,Caterpillar,Donkey,Elephant,Fringle,Gargoyle,Humid,Interstellar,Jupiter,Koala,Lumpy,Mongoose,Nickleback,Octopus,Platypus,Quail,Railroad,Snake,Train,Uuvula,Violin,Wonky,Xylophone,Youngster,Zebra,Alabama,Bikini,Cat,Dumby,Egg,Flick,Great,Heat,Intelligent,Juggle,Kill,Love,,,,,,
Apple,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Banana,,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,
Caterpillar,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Donkey,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,,,
Elephant,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,
Fringle,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,,,,,,,,,,,,
Gargoyle,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,
Humid,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Interstellar,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,,
Jupiter,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,I would especially enjoy working with this person.,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES","I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,
Koala,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,,,
Lumpy,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Mongoose,,,,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickleback,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,
Octopus,,,,,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platypus,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,,,,
Quail,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,
Railroad,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,
Snake,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES, I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,,
Train,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,,
Uuvula,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,
